"id","name","image","modified","updated_by_id","listened_count"
"817","JD Davis","images/artists/image_Cuvo9q7.jpg","20/12/2023 10:24:15.-1f+00","24","0"
"818","Steve Angello","images/artists/image_Uu5EHy4.jpg","20/12/2023 10:39:20.-1f+00","24","0"
"819","Tara McDonald","images/artists/image_vQcch41.jpg","20/12/2023 10:45:41.-1f+00","24","0"
"820","Fred Rister","images/artists/image_qAYZVQ5.jpg","20/12/2023 11:02:49.-1f+00","24","0"
"821","Stereo MC's","images/artists/image_p21TzO7.jpg","20/12/2023 11:20:27.-1f+00","24","0"
"822","Дмитрий Четвергов","images/artists/image_jN2eQm2.jpg","20/12/2023 12:34:35.-1f+00","23","0"
"823","Barbara Tucker","images/artists/image_B47zfA8.jpg","21/12/2023 04:54:06.-1f+00","24","0"
"824","GAYAZOV$ BROTHER$","images/artists/image_Ge4cHfU.jpg","21/12/2023 04:55:03.-1f+00","22","0"
"874","The Kid LAROI","images/artists/image_IiddOij.jpg","25/12/2023 10:25:25.-1f+00","25","0"
"825","David Bowie","images/artists/image_xqCROWW.jpeg","21/12/2023 05:04:42.-1f+00","24","0"
"826","Flo Rida","images/artists/image_DK2iJZp.jpg","21/12/2023 05:34:57.-1f+00","24","0"
"827","Dev","images/artists/image_F08h3I7.jpg","21/12/2023 05:53:36.-1f+00","24","0"
"828","Jennifer Hudson","images/artists/image_N0J3kqS.jpg","21/12/2023 05:59:55.-1f+00","24","0"
"829","Jessie J","images/artists/image_aOiwIKP.jpg","21/12/2023 06:02:53.-1f+00","24","0"
"830","Ласковый май","images/artists/image_UJAWRZK.jpg","21/12/2023 06:08:39.-1f+00","22","0"
"831","Sia","images/artists/image_tn8yZ0K.jpg","21/12/2023 06:08:45.-1f+00","24","0"
"832","Esthero","images/artists/image_OUKkiJk.jpg","21/12/2023 06:35:10.-1f+00","24","0"
"833","CL","images/artists/image_IQFsNwS.jpg","21/12/2023 06:42:35.-1f+00","24","0"
"834","Phife Dawg","images/artists/image_IUs2GkI.jpg","21/12/2023 06:46:12.-1f+00","24","0"
"835","Nicole Scherzinger","images/artists/image_TvFUAOp.jpg","21/12/2023 07:04:49.-1f+00","24","0"
"836","James Brown","images/artists/image_0OO1eH0.jpg","21/12/2023 07:53:50.-1f+00","24","0"
"837","Papa Roach","images/artists/image_zAyYLbm.jpg","21/12/2023 09:16:57.-1f+00","24","0"
"838","Chali 2na","images/artists/image_BxAo5O9.jpg","21/12/2023 09:26:25.-1f+00","24","0"
"839","De La Soul","images/artists/image_JDUdooR.jpg","21/12/2023 09:31:24.-1f+00","24","0"
"840","Fetty Wap","images/artists/image_5Y47631.jpg","21/12/2023 10:21:04.-1f+00","24","0"
"841","Avril Lavigne","images/artists/image_DtUaq1a.jpg","21/12/2023 10:26:16.-1f+00","22","0"
"842","Puff Daddy","images/artists/image_ueYj9nX.jpg","21/12/2023 11:23:33.-1f+00","24","0"
"843","Kelly Price","images/artists/image_4lDK9zO.jpg","21/12/2023 11:33:17.-1f+00","24","0"
"844","Redman","images/artists/image_Ms4bS1f.jpg","21/12/2023 11:41:58.-1f+00","24","0"
"845","Hurts","images/artists/image_9QR0tSs.jpg","21/12/2023 11:44:54.-1f+00","22","0"
"846","Аквариум","images/artists/image_4omHMmA.jpg","21/12/2023 11:46:26.-1f+00","25","0"
