"id","name","image","modified","year","trend","updated_by_id"
"76","Бордерлайн","images/albums/image_OXi2YOa.jpg","7/9/2023 06:34:45.-1f+00","2022","f","1"
"77","На синем трамвае","images/albums/image_2nJ9XNg.jpg","7/9/2023 07:57:13.-1f+00","2023","f","1"
"78","В тёмных глазах твоих","images/albums/image_Qs8KZXR.jpg","7/9/2023 08:32:44.-1f+00","2013","f","1"
"79","Вдыхая Друг Друга","images/albums/image_mIUAktb.jpg","7/9/2023 09:18:46.-1f+00","2012","f","1"
"80","Я верю в любовь","images/albums/image_XoniYM0.jpg","7/9/2023 10:01:16.-1f+00","2019","f","1"
"81","The Best Hits","images/albums/image_f8Nxsaj.jpg","7/9/2023 10:56:33.-1f+00","2008","f","1"
"82","Что они знают","images/albums/image_KeVN73t.jpg","7/9/2023 11:52:02.-1f+00","2017","f","1"
"83","Аллея шансона","images/albums/image_OvIbyWc.jpg","8/9/2023 05:19:53.-1f+00","2011","f","1"
"84","Лирика","images/albums/image_0YLnI1L.jpg","8/9/2023 05:49:32.-1f+00","2020","f","1"
"85","Оттолкнемся-Притянемся","images/albums/image_BQTfBgP.jpg","8/9/2023 07:14:54.-1f+00","2005","f","1"
"86","MISS","images/albums/image_2sFxgIP.jpg","8/9/2023 07:33:52.-1f+00","2022","f","1"
"87","Best Songs. Dress-code Любовь","images/albums/image_hQrgjWC.jpg","8/9/2023 08:55:21.-1f+00","2016","f","1"
"88","Любимые песни. Ru","images/albums/image_HLFxfzy.jpg","8/9/2023 09:37:42.-1f+00","2007","f","1"
"89","Dobranotch","images/albums/image_nJndMaq.jpg","8/9/2023 12:37:06.-1f+00","2004","f","1"
"90","Манекен","images/albums/image_OvOSDnv.jpg","9/9/2023 05:53:14.-1f+00","2015","f","1"
"91","Каждый Любит вSех","images/albums/image_ML7Nosh.jpg","9/9/2023 06:38:40.-1f+00","2009","f","1"
"92","2021","images/albums/image_7Vsm4AG.jpg","10/9/2023 06:26:24.-1f+00","2021","f","1"
"93","Ночи и дни","images/albums/image_HxPQzYm.jpg","10/9/2023 07:10:42.-1f+00","2017","f","1"
"94","Начнём сначала","images/albums/image_CKBIHaH.jpg","10/9/2023 08:05:23.-1f+00","2019","f","1"
"97","Магнитные","images/albums/image_9gqSChX.jpg","10/9/2023 11:21:25.-1f+00","2019","f","1"
"95","Галя ходи","images/albums/image_E54lzAS.jpeg","10/9/2023 09:24:27.-1f+00","2018","f","1"
"96","Все мимолетно","images/albums/image_woc3fZ7.jpg","10/9/2023 10:10:50.-1f+00","2013","f","1"
"98","Не отпускай","images/albums/image_1tutI2A.jpg","10/9/2023 14:23:27.-1f+00","2019","f","1"
"99","Grand Collection","images/albums/image_8RvWJwT.jpg","11/9/2023 05:08:37.-1f+00","2011","f","1"
"100","Лучшее","images/albums/image_Hpd60Pl.jpg","11/9/2023 05:51:50.-1f+00","2020","f","1"
"101","ГАДДЕМ 2","images/albums/image_Fmk6WY6.jpg","11/9/2023 10:27:15.-1f+00","2021","f","1"
"102","Горизонт событий","images/albums/image_d8Bh990.jpg","11/9/2023 10:56:07.-1f+00","2017","f","1"
"103","Как упоительны в России вечера (Юбилейное издание)","images/albums/image_DDxuDr7.jpg","11/9/2023 11:34:46.-1f+00","2009","f","1"
"104","Новая Коллекция","images/albums/image_4QGzdYY.jpg","11/9/2023 15:18:46.-1f+00","2008","f","1"
"105","Задеть За Мёртвое","images/albums/image_m6cT7or.jpg","12/9/2023 05:50:09.-1f+00","2013","f","1"
"106","Проклятье морей","images/albums/image_c5eN0WN.jpg","12/9/2023 07:34:26.-1f+00","2018","f","1"
"107","DIVA (Live)","images/albums/image_a7wkzvG.jpg","12/9/2023 08:12:51.-1f+00","2020","f","1"
"108","Если он уйдет","images/albums/image_c8S0ILk.jpg","12/9/2023 09:16:45.-1f+00","2009","f","1"
"109","Песни О Хорошем. Часть 2","images/albums/image_ZN7XJbN.jpg","13/9/2023 06:30:57.-1f+00","2019","f","1"
"110","Песни О Хорошем. Часть 1","images/albums/image_DKxMmzr.jpg","13/9/2023 06:42:39.-1f+00","2019","f","1"
"111","The Best. Время Романтиков","images/albums/image_5UToTUG.jpg","13/9/2023 07:04:47.-1f+00","2004","f","1"
"112","Прикосновение","images/albums/image_M7da8J8.jpg","14/9/2023 07:31:00.-1f+00","2011","f","1"
"113","Я Хочу Одеться В Белое","images/albums/image_tMznNzo.jpg","14/9/2023 08:16:20.-1f+00","2020","f","1"
"114","Май","images/albums/image_oxxEujH.jpg","15/9/2023 06:34:11.-1f+00","2008","f","1"
"115","Атаман","images/albums/image_ZPrrLoL.jpg","15/9/2023 07:06:26.-1f+00","2014","f","1"
"116","Роза","images/albums/image_0jSRrRk.jpg","15/9/2023 07:42:47.-1f+00","2011","f","1"
"117","Обручальная","images/albums/image_SIvvA3P.jpg","15/9/2023 08:09:51.-1f+00","2006","f","1"
"118","Две жизни","images/albums/image_eb6LqrY.jpg","15/9/2023 08:36:49.-1f+00","2012","f","1"
"119","Сияй","images/albums/image_6YmcIvL.jpg","15/9/2023 09:44:23.-1f+00","2018","f","1"
"120","Шум сердца","images/albums/image_ZhSTEh6.jpg","15/9/2023 10:03:21.-1f+00","2016","f","1"
"121","Тайна","images/albums/image_lonupSa.jpg","19/9/2023 05:53:40.-1f+00","2007","f","1"
"122","Remixes","images/albums/image_qz3MVyw.jpg","19/9/2023 06:30:24.-1f+00","2016","f","1"
"123","GuSli","images/albums/image_rDbYmZ3.jpg","19/9/2023 06:50:59.-1f+00","2017","f","1"
"124","Твой первый диск - моя кассета","images/albums/image_Y4l05Qs.jpg","19/9/2023 08:14:40.-1f+00","2019","f","1"
"125","Романсы","images/albums/image_mQzizdT.jpg","19/9/2023 08:31:48.-1f+00","2010","f","1"
"126","Исповедь","images/albums/image_lLK3uhU.jpg","19/9/2023 08:47:33.-1f+00","2019","f","1"
"1237","In The Zone","images/albums/image_3mImgHi.jpg","20/12/2023 06:14:40.-1f+00","2003","f","24"
"128","2004","images/albums/image_0HZX8Tt.jpg","19/9/2023 11:24:26.-1f+00","2019","f","1"
"129","Music To Be Murdered By","images/albums/image_vSumd6i.jpg","19/9/2023 11:54:49.-1f+00","2020","f","22"
"130","Своим чередом","images/albums/image_JqBYhzr.jpg","19/9/2023 12:08:12.-1f+00","2021","f","1"
"131","Лучшие песни. Новая коллекция","images/albums/image_GVTG9vI.jpg","20/9/2023 05:31:44.-1f+00","2010","f","1"
"132","Противофазы","images/albums/image_9N2QbSJ.jpg","20/9/2023 06:10:48.-1f+00","2013","f","1"
"133","Вот она я","images/albums/image_T3hddxR.jpg","20/9/2023 07:22:54.-1f+00","2021","f","1"
"134","Хина","images/albums/image_14JodY3.jpg","20/9/2023 08:01:13.-1f+00","2020","f","1"
"135","Best 50","images/albums/image_7FhpNIR.jpg","20/9/2023 08:28:04.-1f+00","2013","f","1"
"136","No Sleep","images/albums/image_m7hqD2B.jpg","20/9/2023 10:28:05.-1f+00","2017","f","22"
"137","Игра","images/albums/image_1wvugU9.jpg","20/9/2023 10:46:25.-1f+00","2016","f","1"
"138","Часы","images/albums/image_EOQNMzI.jpg","20/9/2023 11:32:40.-1f+00","2015","f","1"
"139","Се Ля Ви","images/albums/image_fqrh4eJ.jpg","20/9/2023 11:42:54.-1f+00","2014","f","1"
"140","Мой Любимый...","images/albums/image_kf7DfrO.jpg","20/9/2023 12:02:29.-1f+00","2004","f","1"
